AR_p,d,MA_q,SAR_P,D,SMA_Q,E,Box-Cox,IN_SAMPLE_MAPE,IN_SAMPLE_R2,IN_SAMPLE_MAE,AIC,IN_SAMPLE_TIME
0,2,2,2,0,2,12,False,0.0824624001781542,0.7858068682748689,0.4180111912956613,58.35979167870469,0.1546778678894043
0,2,2,1,0,0,12,False,0.08252951473587307,0.7826395813003952,0.42004657383884975,55.67717670763292,0.06219983100891113
0,2,2,1,0,1,12,False,0.08260650917840257,0.7848198214821482,0.4194142098748849,55.11135319125998,0.09998798370361328
0,2,2,0,0,1,12,False,0.08262193855170549,0.7841792052542339,0.4200006860044428,53.233122011607996,0.03941798210144043
1,2,1,2,0,0,12,False,0.08273514887971826,0.7849455702866482,0.41848304256055746,54.986921923834345,0.14920496940612793
1,2,2,0,0,1,12,False,0.08278379815883598,0.7861734548564965,0.4221777012679256,52.754268616053714,0.08823394775390625
2,2,2,0,0,1,12,False,0.0827895820509,0.7861540402715017,0.4222354855046268,54.754483207496385,0.1288280487060547
2,2,1,0,0,2,12,False,0.08281129244078289,0.7851127381529382,0.41933830301363484,56.357256786577345,0.10370087623596191
2,2,1,0,0,1,12,False,0.0828145756569929,0.7843297964809413,0.4203005094532232,54.49657387515315,0.07858490943908691
1,2,1,2,0,2,12,False,0.08283682759286838,0.7848886267699156,0.419082462621164,58.93750900993793,0.21506690979003906
1,2,1,2,0,1,12,False,0.08284625029548182,0.7849002411334068,0.4191106218654621,56.939192275069374,0.1835777759552002
2,2,1,1,0,1,12,False,0.08291313742072175,0.7848446265547477,0.4205156416343747,56.67833126633112,0.12228822708129883
2,2,1,2,0,1,12,False,0.08296055074694379,0.7855308686075625,0.4201639114429531,58.06645030454882,0.20627689361572266
2,2,1,2,0,2,12,False,0.08296359009299177,0.7855280287126459,0.4201858945225918,60.06696106886253,0.21776080131530762
0,2,2,1,0,2,12,False,0.08318325710475465,0.7853537883792971,0.4215082033534044,56.53576481202997,0.20343399047851562
1,2,1,1,0,1,12,False,0.08326925485968374,0.7836771573412713,0.4219011200549528,55.79532233929941,0.10256099700927734
2,2,1,1,0,2,12,False,0.08327020104035354,0.7853874807773956,0.4216355811589311,58.11764691201206,0.20026588439941406
1,2,1,0,0,2,12,False,0.08336209734204414,0.7839721410421732,0.4216943077775435,55.78405515394694,0.13224196434020996
1,2,1,1,0,0,12,False,0.0833643400158643,0.7815659706084421,0.42324533470215964,56.35054188227936,0.0712270736694336
1,2,1,1,0,2,12,False,0.08339061957000375,0.7844558694079135,0.42179376187967393,57.144749888243005,0.2154560089111328
1,2,2,0,0,0,12,False,0.08346293280878762,0.7810567106820147,0.42194078438709665,57.33343768149983,0.024175167083740234
0,2,2,0,0,0,12,False,0.0835933537565343,0.78011680421378,0.42437741575746335,56.55965562002527,0.015948057174682617
2,2,1,1,0,0,12,False,0.08387832570904946,0.7827315193100621,0.42366784630810694,57.38028668293738,0.04052591323852539
1,2,1,0,0,0,12,False,0.08439936114877063,0.7791583638726108,0.4280124322771645,57.21365942404867,0.019659996032714844
1,2,1,0,0,1,12,False,0.08443418386567647,0.7812896444693396,0.42772115789610315,54.39414615640236,0.07100510597229004
2,2,0,1,0,0,12,False,0.08455964574730297,0.774822204014939,0.43301307418982943,61.33867015811815,0.01864790916442871
0,2,1,2,0,1,12,False,0.08461042599334327,0.7817730623034091,0.42650722448591116,56.56168710161636,0.10874700546264648
0,2,1,2,0,2,12,False,0.08461072310856084,0.7817727576926351,0.42650901199738794,58.56168695793726,0.13659095764160156
0,2,1,0,0,2,12,False,0.08467281435519715,0.7813687927333818,0.4270028502304017,55.00124458475875,0.06905508041381836
0,2,1,1,0,2,12,False,0.08469946273467828,0.7816778578071566,0.4269812569046911,56.612721587056434,0.17012405395507812
0,2,1,2,0,0,12,False,0.08480476369394241,0.7815894975433891,0.4272577327336195,54.83924512307574,0.06580018997192383
0,2,1,1,0,1,12,False,0.08482583693113266,0.781154679398584,0.42789725818895646,55.03316604355209,0.0992269515991211
